VIN,open_recalls,name,status,nhtsa,date,Description,Safety,remedy
1FA6P8AM2H5324366,yes,LUGGAGE COMPARTMENT LID WIRING INSPECTION AND REAR VIEW CAMERA IMPROPER FUNCTION,Recall Incomplete,22S06/22V082,2022-02-16,"ON YOUR VEHICLE, THE REAR VIEW CAMERA COULD INTERMITTENTLY DISPLAY A BLANK OR DISTORTED IMAGE.",".A REAR VIEW CAMERA THAT INTERMITTENTLY DISPLAYS A BLANK OR DISTORTED IMAGE MAY REDUCE THE DRIVERS VIEW OF WHAT IS BEHIND THE VEHICLE, INCREASING THE RISK OF A CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE FOR ALL MY2016-2017 AND A LIMITED NUMBER OF MY2015 2015MY OWNERS WILL RECEIVE A PARTS AVAILABLE OWNER LETTER ADVISING THEM TO SCHEDULE A SERVICE APPOINTMENT. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT AND REPAIR THE LUGGAGE COMPARTMENT LID WIRING HARNESS AS NECESSARY FREE OF CHARGE PARTS AND LABOR.
1FA6P8CF0F5304693,yes,LUGGAGE COMPARTMENT LID WIRING INSPECTION AND REAR VIEW CAMERA IMPROPER FUNCTION,Recall Incomplete,22S06/22V082,2022-02-16,"ON YOUR VEHICLE, THE REAR VIEW CAMERA COULD INTERMITTENTLY DISPLAY A BLANK OR DISTORTED IMAGE.",".A REAR VIEW CAMERA THAT INTERMITTENTLY DISPLAYS A BLANK OR DISTORTED IMAGE MAY REDUCE THE DRIVERS VIEW OF WHAT IS BEHIND THE VEHICLE, INCREASING THE RISK OF A CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE FOR ALL MY2016-2017 AND A LIMITED NUMBER OF MY2015 2015MY OWNERS WILL RECEIVE A PARTS AVAILABLE OWNER LETTER ADVISING THEM TO SCHEDULE A SERVICE APPOINTMENT. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT AND REPAIR THE LUGGAGE COMPARTMENT LID WIRING HARNESS AS NECESSARY FREE OF CHARGE PARTS AND LABOR.
1FA6P8CF0F5304693,yes,BRAKE STOP LAMPS REMAIN ON,Recall Incomplete,22S02/22V011,2022-01-13,"THE BRAKE PEDAL STOP BUMPER ON SOME VEHICLES MAY DISINTEGRATE AND FALL OFF IN CERTAIN HIGH TEMPERATURE, HIGH HUMIDITY, AND HIGH SALINITY ENVIRONMENTS.","A MISSING BRAKE PEDAL STOP BUMPER WILL RESULT IN THE BRAKE STOP LAMPS REMAINING ON CONTINUOUSLY, EVEN WHEN THE BRAKE PEDAL IS NOT APPLIED, WHICH MAY CONFUSE OTHER DRIVERS AND INCREASE THE RISK OF A CRASH. ON AUTOMATIC TRANSMISSION VEHICLES, A MISSING BRAKE PEDAL BUMPER COULD ALLOW THE TRANSMISSION TO BE SHIFTED OUT OF THE PARK POSITION WITHOUT DEPRESSING THE BRAKE, WHICH MAY RESULT IN A VEHICLE ROLLAWAY, INCREASING THE RISK OF A CRASH.",FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO REPLACE THE BRAKE PEDAL BUMPER FREE OF CHARGE PARTS AND LABOR.
1FA6P8CF0F5304693,yes,SIDE DOOR LATCH REPLACEMENT,Recall Incomplete,16S30/16V643,2016-09-02,"A DOOR LATCH WITH A FRACTURED PAWL SPRING TAB TYPICALLY RESULTS IN A ""DOOR WILL NOT CLOSE"" CONDITION. A DOOR THAT OPENS WHILE DRIVING INCREASES THE RISK OF INJURY. AS OF 9/2/16, FORD'S INVESTIGATION INTO THIS CONCERN HAS IDENTIFIED A TOTAL OF ONE ALLEGED ACCIDENT AND THREE ALLEGED INJURIES THAT FORD BELIEVES MAY BE RELATED. ONE ALLEGED INJURY WAS TO AN OCCUPANT'S ARM FROM A DOOR THAT REPORTEDLY OPENED AND BOUNCED BACK. ANOTHER INJURY INVOLVED A DRIVER WHO ALLEGED HER HAND WAS INJURED WHEN TRYING TO GRAB A DOOR THAT OPENED. THE THIRD INJURY WAS TO AN OCCUPANT WHO ALLEGEDLY RECEIVED SCRATCHES FROM A REAR DOOR THAT OPENED WHILE DRIVING. FORD HAS NO FURTHER INFORMATION RELATING TO THESE REPORTS. THE ALLEGED ACCIDENT OCCURRED AFTER THE DRIVER'S DOOR REPORTEDLY OPENED IN A PARKING LOT AND RESULTED IN BUMPER DAMAGE, BUT FORD HAS NO ADDITIONAL INFORMATION.","A DOOR LATCH WITH A FRACTURED PAWL SPRING TAB TYPICALLY RESULTS IN A ""DOOR WILL NOT CLOSE"" CONDITION. A DOOR THAT OPENS WHILE DRIVING INCREASES THE RISK OF INJURY.","OWNERS WILL BE NOTIFIED BY MAIL AND INSTRUCTED TO TAKE THEIR VEHICLE TO A FORD OR LINCOLN DEALER TO HAVE ALL AFFECTED DOOR LATCHES REPLACED WITH A MORE ROBUST SERVICE PART. THERE WILL BE NO CHARGE FOR THIS SERVICE. PARTS AVAILABILITY IS PRESENTLY VERY LIMITED. IT IS RECOGNIZED THAT CERTAIN FACTORS AFFECT THE RATE OF REPORTS AND MAY BE USED IN PRIORITIZING THE PHASED MAILING OF REMEDY NOTIFICATIONS AS PARTS BECOME AVAILABLE. FORD PROVIDED THE GENERAL REIMBURSEMENT PLAN FOR THE COST OF REMEDIES PAID FOR BY VEHICLE OWNERS PRIOR TO NOTIFICATION OF A SAFETY RECALL TO THE AGENCY IN FEBRUARY 2015. THE ENDING DATE FOR REIMBURSEMENT ELIGIBILITY IS OCTOBER 31, 2016. FORD WILL FORWARD A COPY OF THE NOTIFICATION LETTERS TO DEALERS TO THE AGENCY WHEN AVAILABLE."
1FA6P8CF3F5434922,yes,BRAKE STOP LAMPS REMAIN ON,Recall Incomplete,22R01/22R01,2022-01-07,"FORD MOTOR COMPANY IS CONDUCTING A SAFETY RECALL 22S02 ON CERTAIN 2014-2015 MODEL YEAR MUSTANG, FUSION AND MKZ VEHICLES REGISTERED IN CERTAIN HIGH AMBIENT TEMPERATURE STATES AND TERRITORIES.","A MISSING BRAKE PEDAL STOP BUMPER WILL RESULT IN THE BRAKE STOP LAMPS REMAINING ON CONTINUOUSLY, EVEN WHEN THE BRAKE PEDAL IS NOT APPLIED, WHICH MAY CONFUSE OTHER DRIVERS AND INCREASE THE RISK OF A CRASH. ON AUTOMATIC TRANSMISSION VEHICLES, A MISSING BRAKE PEDAL BUMPER COULD ALLOW THE TRANSMISSION TO BE SHIFTED OUT OF THE PARK POSITION WITHOUT DEPRESSING THE BRAKE, WHICH MAY RESULT IN A VEHICLE ROLLAWAY, INCREASING THE RISK OF A CRASH.",FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO REPLACE THE BRAKE PEDAL BUMPER FREE OF CHARGE PARTS AND LABOR.
1FA6P8CF3F5434922,yes,LUGGAGE COMPARTMENT LID WIRING INSPECTION AND REAR VIEW CAMERA IMPROPER FUNCTION,Recall Incomplete,22S06/22V082,2022-02-16,"ON YOUR VEHICLE, THE REAR VIEW CAMERA COULD INTERMITTENTLY DISPLAY A BLANK OR DISTORTED IMAGE.",".A REAR VIEW CAMERA THAT INTERMITTENTLY DISPLAYS A BLANK OR DISTORTED IMAGE MAY REDUCE THE DRIVERS VIEW OF WHAT IS BEHIND THE VEHICLE, INCREASING THE RISK OF A CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE FOR ALL MY2016-2017 AND A LIMITED NUMBER OF MY2015 2015MY OWNERS WILL RECEIVE A PARTS AVAILABLE OWNER LETTER ADVISING THEM TO SCHEDULE A SERVICE APPOINTMENT. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT AND REPAIR THE LUGGAGE COMPARTMENT LID WIRING HARNESS AS NECESSARY FREE OF CHARGE PARTS AND LABOR.
1FA6P8CF3K5184883,no,,,,,,,
1FA6P8CF5J5117443,no,,,,,,,
1FA6P8CF5J5118348,no,,,,,,,
1FA6P8CF5J5166772,no,,,,,,,
