VIN,open_recalls,Name,Status,nhtsa,Date,Description,safety,Repair_description,Unnamed: 9
1GNFK16337J217839,yes,Front Passenger Airbag Takata Inflator - Priority Group 6,incomplete,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK16337J217839,no,HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - ADD WIRE HARNESS,complete,,,,,,
1GNFK16337J217839,no,HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - DISABLE AND REMOVE MODULE,complete,10V240,2010-06-04,"GM is recalling certain model year 2006-2009 Buick Lucerne; Cadillac DTS; Hummer H2; model year 2008-2009 Buick Enclave; Cadillac CTS; model year 2007-2009 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Silverado, Suburban, Tahoe; GMC Acadia, Sierra, Yukon, Yukon XL; Saturn Outlook; and model year 2009 Chevrolet Traverse vehicles equipped with a heated washer fluid system (HWFS). A recall was implemented in 2008 to add a fuse to the control circuit harness to address the potential consequences of a printed circuit board (PCB) electrical short. However, there have been new reports of thermal incidents on HWFS modules after this improvement was installed. These incidents resulted from a new failure mode attributed to the device's thermal protection feature. The significance varies from minor distortion to considerable melting of the plastic around the HWFS fluid chamber.",It is possible for the heated washer module to ignite and a fire may occur.,Dealers will permanently disable and remove the heated washer fluid module free of charge. An updated page for the owner manual will be provided and inserted in the owner manual to document that the feature has been permanently disabled and removed from the vehicle.,
1GNFK16357R375682,yes,Front Passenger Airbag Takata Inflator - Priority Group 6,incomplete,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK16367J227586,yes,Front Passenger Airbag Takata Inflator - Priority Group 6,incomplete,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK16367J239138,yes,Front Passenger Airbag Takata Inflator - Priority Group 6,incomplete,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK16387J331156,yes,Front Passenger Airbag Takata Inflator - Priority Group 6,incomplete,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK163X8J108196,yes,Front Passenger Airbag Takata Inflator - Priority Group 6,incomplete,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK163X8J120784,yes,Front Passenger Airbag Takata Inflator - Priority Group 8,incomplete,21V052,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles. The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,
1GNFK163X8J120784,no,HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - DISABLE AND REMOVE MODULE,complete,10V240,2010-06-04,"GM is recalling certain model year 2006-2009 Buick Lucerne; Cadillac DTS; Hummer H2; model year 2008-2009 Buick Enclave; Cadillac CTS; model year 2007-2009 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Silverado, Suburban, Tahoe; GMC Acadia, Sierra, Yukon, Yukon XL; Saturn Outlook; and model year 2009 Chevrolet Traverse vehicles equipped with a heated washer fluid system (HWFS). A recall was implemented in 2008 to add a fuse to the control circuit harness to address the potential consequences of a printed circuit board (PCB) electrical short. However, there have been new reports of thermal incidents on HWFS modules after this improvement was installed. These incidents resulted from a new failure mode attributed to the device's thermal protection feature. The significance varies from minor distortion to considerable melting of the plastic around the HWFS fluid chamber.",It is possible for the heated washer module to ignite and a fire may occur.,Dealers will permanently disable and remove the heated washer fluid module free of charge. An updated page for the owner manual will be provided and inserted in the owner manual to document that the feature has been permanently disabled and removed from the vehicle.,
