VIN,make,model,year
3FMTK4SE8MME00569,Ford,Mustang Mach-E,2021
1FM5K8GT2KGB27773,Ford,Explorer,2019
1ZVFT80N755166258,FORD,MUSTANG,2005
1FMYU01191KB81891,FORD,ESCAPE,2001
1FADP3F26DL208773,FORD,FOCUS,2013
1FMPU16L13LA35039,Ford,Expedition,2003
1ZVHT82H295101534,FORD,MUSTANG,2009
1FM5K8GT8FGC40469,Ford,Explorer,2015
1FMZU74E02UB80534,FORD,EXPLORER,2002
1FATP8FF9L5161270,FORD,Mustang,2020
1FTMF1CB1JKF05070,Ford,F-150,2018
1FADP3L97EL395766,FORD,FOCUS,2014
1FTPW14V88FB24423,FORD,F-150,2008
1FTPW14V89FA61292,FORD,F-150,2009
1FTFW1E53JKC57565,Ford,F-150,2018
1FMZU73K94ZA16003,FORD,EXPLORER,2004
1ZVBP8AM3C5270106,FORD,MUSTANG,2012
1FA6P8CF8J5179869,Ford,Mustang,2018
1fabp44a3hf230189,FORD,MUSTANG,1987
1FMJU1HT3FEF49860,FORD,EXPEDITION,2015
1FAHP3GNXBW101327,FORD,FOCUS,2011
1FMZU65WX4UB78441,FORD,EXPLORER,2004
1FMDU34X7PUB64679,FORD,EXPLORER,1993
1FMDU34X2TZB79300,FORD,EXPLORER,1996
1ftpx12524nb72614,Ford,F-150,2004
1FMCU9GD7HUC54920,Ford,Escape,2017
1FMZU63K55UB72516,FORD,EXPLORER,2005
1FAFP40433F329671,FORD,MUSTANG,2003
1FTRX18L5YNB91047,Ford,F-150,2000
1FTEW1EF4FFB49234,Ford,F-150,2015
1FM5K8B82FGC28708,Ford,Explorer,2015
1FTFX1EF9FKD72880,Ford,F-150,2015
1FMYU22XXWUD03183,FORD,EXPLORER,1998
1FTRX17W0XNB00342,Ford,F-150,1999
1FMFU17537LA53639,FORD,EXPEDITION,2007
1FMEU73E58UA81281,FORD,EXPLORER,2008
1FTEW1EF6HKC42315,Ford,F-150,2017
1FTYR14X9XTA40818,FORD,RANGER,1999
1FTRF12265KC15338,FORD,F-150,2005
1FM5K7D81DGA36328,FORD,EXPLORER,2013
1FTPX12536FA57582,FORD,F-150,2006
1FAHP35N38W294612,FORD,FOCUS,2008
1FALP45T9RF147758,Ford,Mustang,1994
1FTZR15E51PB76901,FORD,RANGER,2001
1FTPX14535FB30378,FORD,F-150,2005
1FTFW1EF5BFA32177,Ford,F-150,2011
1FTEW1EB8KFB71874,Ford,F-150,2019
1FTYR10D13PA53545,Ford,Ranger,2003
3FAFP31393R121622,FORD,FOCUS,2003
1FTRW07W31KB86185,FORD,F-150,2001
1FTEW1E45LFA79849,Ford,F-150,2020
1FTYR10D36PA44768,Ford,Ranger,2006
1FTDF15E4BPA62781,FORD,F-150,1981
1FTYR10C2XUB22631,FORD,RANGER,1999
1FM5K8D88JGA91408,Ford,Explorer,2018
1FTFW1ET6EFC71960,Ford,F-150,2014
1ZVFT80N555214985,FORD,MUSTANG,2005
1FMEU6DE1AUA24168,FORD,EXPLORER,2010
1FTYR44U16PA04863,FORD,RANGER,2006
1FTBR10C9GUB13656,Ford,Ranger,1986
1FMZU32E1XZA83428,FORD,EXPLORER,1999
1FAHP3H21CL209942,Ford,Focus,2012
1FTRW07692KD69107,FORD,F-150,2002
1FTPW12V79FA91578,FORD,F-150,2009
1FMCU03128KA92620,FORD,ESCAPE,2008
1FTCR10U6VUA10964,Ford,Ranger,1997
1FTEW1CBXJKE60778,Ford,F-150,2018
1FTEX1EM6EFC29662,Ford,F-150,2014
1fmeu73e79ua19625,FORD,EXPLORER,2009
1FTFW1EF6EFC91488,FORD,F-150,2014
1FADP3K23EL335620,Ford,Focus,2014
1FADP3K24FL363718,Ford,Focus,2015
1FACP42E2LF178329,Ford,Mustang,1990
1ZVBP8CF1C5228032,Ford,Mustang,2012
1FAHP3N2XCL267875,FORD,FOCUS,2012
1ftrx12wx5nb54378,FORD,F-150,2005
1FMCU9GD5JUC99800,Ford,Escape,2018
1FMPU18L83LA04397,Ford,Expedition,2003
1fa6p8thxg5221484,Ford,Mustang,2016
1FMCU9J92EUC68045,Ford,Escape,2014
1FTEW1EPXJKE34562,Ford,F-150,2018
1FTRX17232NA10236,FORD,F-150,2002
1fmhk8d81bga92270,FORD,EXPLORER,2011
1ZVHT82H685155756,Ford,Mustang,2008
1FM5K7F82FGA89653,FORD,EXPLORER,2015
1FTZR45E07PA11042,Ford,Ranger,2007
1ZVBP8AN7A5181323,Ford,Mustang,2010
1ftpw14575fa91152,Ford,F-150,2005
1fmhk8d82cga89234,FORD,EXPLORER,2012
1ftex1cm9efb01046,Ford,F-150,2014
1fadp3k22Gl231462,FORD,FOCUS,2016
1ftpw12535fa13518,Ford,F-150,2005
1FTEW1E55LFC22226,Ford,F-150,2020
